"Provincia","Canton","SquareMetersConstruction","SquareMetersTerrain","Price"
"Alajuela","San Carlos",185,327,120000
"Heredia","Heredia",170,240,194000
"Heredia","San Isidro",0,0,205200
"Heredia","Heredia",0,0,185000
"Cartago","Cartago",100,150,0.0019
"Heredia","San Rafael",114,200,160000
"Heredia","San Pablo",0,0,189.05
"San José","Moravia",0,0,NA
"San José","Moravia",0,0,NA
"San José","Desamparados",172,172,152000
"Puntarenas","Garabito",200,300,180500
"San José","Desamparados",144,144,95000
"Cartago","Cartago",150,280,170000
"San José","Desamparados",215,160,152000
"San José","San José",0,0,NA
"San José","San José",0,0,NA
"San José","Montes de Oca",370,1800,410000
"San José","Alajuelita",140,300,121600
"Cartago","La Unión",350,720,595000
"San José","Escazú",300,359,280000
"San José","Desamparados",120,140,68400
"Limón","Talamanca",240,320,190000
"San José","San José",0,0,NA
"San José","Montes de Oca",375,425,275000
"San José","San José",0,0,NA
"San José","San José",0,0,NA
"Heredia","Barva",121,140,127000
"San José","Pérez Zeledón",120,282,43700
"Heredia","Heredia",252,390,395000
"San José","Vásquez de Coronado",0,0,123500
"San José","Escazú",220,232,265000
"Heredia","Barva",142,176,149999
"San José","Santa Ana",500,400,399000
"San José","Desamparados",215,164,142500
"San José","Santa Ana",100,140,156000
"Heredia","Heredia",150,150,108300
"Alajuela","Alajuela",350,1180,550000
"Heredia","Heredia",100,120,119700
"Alajuela","Atenas",140,205,150000
"San José","Curridabat",205,230,199000
"San José","Santa Ana",156,0,195000
"Heredia","Belén",129,180,153000
"Heredia","Heredia",140,126,135000
"Alajuela","Atenas",150,127,152000
"Heredia","Heredia",120,120,79800
"Cartago","La Unión",165,160,160000
"Alajuela","Atenas",240,1671,345000
"Heredia","San Rafael",357,432,340000
"San José","Escazú",247,640,365000
"San José","Escazú",300,650,350000
"San José","Santa Ana",150,350,235000
"San José","Santa Ana",150,350,235000
"San José","San José",300,0,250000
"San José","Montes de Oca",525,3224,745000
"San José","Curridabat",438,1178,6e+05
"Cartago","Cartago",139,110,83410
"Alajuela","Alajuela",275,267,236000
"Alajuela","San Carlos",95,140,64600
"Heredia","Santa Bárbara",125,125,99750
"Alajuela","San Ramón",215,365,262200
"San José","Curridabat",250,243,295000
"San José","San José",170,181,130000
"Heredia","San Rafael",350,400,161500
"Puntarenas","Esparza",200,400,95000
"Heredia","Heredia",163,163,114000
"Alajuela","Alajuela",150,385,79800
"San José","Santa Ana",290,275,450000
"Heredia","Heredia",116,140,138000
"San José","Curridabat",330,400,295000
"Alajuela","Grecia",192,284,179500
"San José","San José",170,106,146300
"Heredia","San Rafael",188,120,123500
"San José","San José",129,157,2e+05
"Cartago","La Unión",160,150,150000
"Heredia","Heredia",164,197,152000
"San José","San José",220,250,180000
"San José","Desamparados",0,0,104500
"San José","Escazú",0,0,NA
"Cartago","Cartago",0,0,NA
"Heredia","San Rafael",300,1000,220000
"Alajuela","Alajuela",0,0,NA
"Alajuela","Alajuela",0,0,NA
"Alajuela","Alajuela",0,0,NA
"Heredia","Heredia",130,158,98800
"Heredia","Heredia",135,160,123500
"Heredia","Heredia",140,140,123500
"Heredia","Barva",280,420,360000
"San José","Santa Ana",315,401,245000
"San José","Curridabat",140,0,114000
"San José","Escazú",350,0,395000
"Heredia","Santo Domingo",0,0,164350
"Heredia","San Pablo",0,0,161500
"Heredia","Heredia",0,0,133000
"Heredia","Heredia",0,0,132050
"Heredia","Barva",0,0,139650
"Heredia","Heredia",175,282,150000
"Heredia","Heredia",220,220,118750
"Limón","Guácimo",70,420,34200
"Limón","Limón",134,194,93100
"Limón","Siquirres",120,120,30400
"Heredia","Heredia",164,164,129200
"San José","Vásquez de Coronado",145,220.13,118750
"Alajuela","San Carlos",246,8024,237500
"Heredia","San Pablo",185,230,220000
"Puntarenas","Puntarenas",320,387,190000
"San José","San José",170,0,104500
"Guanacaste","Liberia",122,237,70300
"Alajuela","Grecia",550,1001,485000
"San José","Moravia",0,560,342000
"Alajuela","Grecia",0,0,NA
"Alajuela","Grecia",160,500,161500
"San José","Alajuelita",120,100,118940
"San José","Escazú",200,200,157510
"San José","Curridabat",588,374,273410
"Alajuela","Valverde Vega",0,0,266000
"San José","Curridabat",0,0,NA
"San José","San José",215,0,245000
"Heredia","Heredia",220,140,133000
"Puntarenas","Garabito",48,48,77500
"San José","San José",0,172,230000
"Heredia","Santa Bárbara",100,1200,190000
"San José","San José",0,0,NA
"San José","San José",0,0,NA
"Alajuela","Alajuela",230,241,199500
"Heredia","San Pablo",111,165,95000
"Alajuela","Naranjo",320,1700,237500
"San José","Tibás",200,147,123500
"Puntarenas","Aguirre",306,627,187051.1772
"Puntarenas","Puntarenas",236,750,100151.0311
"Heredia","Santo Domingo",262,262,180000
"Limón","Pococí",45000,320,550000
"San José","Montes de Oca",240,597,380000
"Alajuela","Alajuela",123,1081,73765.1782
"Heredia","San Isidro",600,12112,665000
"Alajuela","San Carlos",95,294,60800
"San José","Curridabat",1500,2800,1160000
"San José","Desamparados",111,120,41609.0348
"San José","Vásquez de Coronado",78,432,70300
"San José","Santa Ana",450,450,779000
"Puntarenas","Puntarenas",250,7000,365000
"Cartago","La Unión",100,125,66500
"Cartago","Cartago",150,184,85500
"Guanacaste","Cañas",192,212,60747.5429
"San José","Santa Ana",190,226,240000
"San José","Mora",184,320,189000
"Alajuela","Grecia",220,280,161500
"Heredia","Santo Domingo",210,272,230000
"Alajuela","Atenas",290,7005,465000
"San José","Escazú",290,250,350000
"San José","Escazú",450,650,2500
"San José","Escazú",195,350,275000
"San José","Escazú",425,650,390000
"San José","Escazú",250,450,250000
"San José","Desamparados",100,120,100700
"Cartago","Cartago",103,150,70110
"San José","Alajuelita",123,123,35150
"San José","San José",205,175,164000
"San José","Escazú",160,427,89000
"San José","Goicoechea",280,701,123500
"San José","Goicoechea",701,195,123500
"Alajuela","Alajuela",100,110,129000
"Heredia","San Pablo",160,250,131100
"Cartago","Cartago",110,120,60800
"Cartago","La Unión",160,120,161500
"Heredia","Belén",550,500,930000
"Cartago","La Unión",151,161,155000
"Heredia","Heredia",160,210,135000
"Cartago","Cartago",128,160,123500
"San José","Goicoechea",0,0,95000
"Cartago","La Unión",145,167,152000
"Heredia","Santa Bárbara",100,140,89300
"Limón","Pococí",88,210,34200
"San José","Escazú",0,140,170000
"Heredia","Santa Bárbara",52,955,170050
"Cartago","La Unión",152,172,150000
"San José","Vásquez de Coronado",140,300,152000
"San José","San José",104,104,76000
"Heredia","Barva",210,160,165000
"Heredia","Heredia",165,180,119700
"San José","San José",149,157,132050
"San José","San José",181,292,185000
"Cartago","La Unión",250,0,189500
"San José","Escazú",633,5411,6e+05
"Alajuela","Alajuela",275,267,237500
"Alajuela","Alajuela",165,161,150100
"San José","Desamparados",140,140,127300
"San José","Desamparados",76,76,59850
"San José","Santa Ana",154,274,195000
"Heredia","Heredia",200,300,118750
"Guanacaste","Liberia",500,900,199000
"Alajuela","Alajuela",74,111,86000
"Alajuela","Alajuela",200,300,85500
"Heredia","San Pablo",130,150,175000
"Guanacaste","Tilarán",140,200,57000
"San José","Santa Ana",300,400,4e+05
"Guanacaste","Nicoya",140,300,76000
"San José","Desamparados",135,110,130000
